n_killed,latitude,longitude
0,37.3116,-76.7566
1,28.1157,-81.1288
0,39.6485,-77.7283
0,42.2032,-72.6213
0,29.9445,-90.0914
0,37.6221,-77.5381
1,39.7526,-75.5356
0,44.9648,-89.6191
0,30.1101,-81.6186
0,39.9526,-75.1652
0,42.2854,-85.5736
1,29.8587,-95.5477
0,41.0501,-85.1158
0,35.9624,-79.7626
0,41.8312,-87.6216
0,34.1468,-117.257
0,41.7585,-71.4445
0,35.0021,-80.917
1,37.7759,-122.222
0,42.9998,-77.5056
1,32.6539,-88.2609
1,30.2329,-97.8517
0,37.6939,-122.184
0,30.0059,-91.8394
1,35.9512,-78.9072
0,30.0772,-93.8258
0,38.975,-92.3411
0,40.7856,-74.0231
0,38.9307,-77.0558
0,41.7204,-72.2157
0,37.7397,-122.156
2,40.145,-92.5766
0,35.3112,-119.013
0,33.6356,-84.4333
0,46.7949,-100.786
0,39.7359,-75.5726
0,41.5121,-93.6296
0,42.2455,-71.9321
0,43.6264,-116.299
0,40.7472,-74.1891
1,37.6159,-121.012
0,32.331,-86.2313
0,29.9861,-90.0595
0,32.2884,-90.1863
0,33.5162,-90.1795
0,42.9391,-85.6447
0,41.813,-71.4191
1,41.3784,-82.122
0,39.2969,-76.6883
0,33.5878,-101.81
0,32.0387,-81.1095
0,38.8173,-76.692
1,39.7787,-86.2038
0,27.8006,-97.3964
1,41.8248,-87.6144
0,34.6336,-86.5668
1,31.1016,-97.7183
0,32.8481,-96.8512
0,32.4902,-92.0912
0,32.7863,-97.3529
0,36.6867,-121.62
0,33.9979,-117.96
0,30.0003,-90.178
0,29.9359,-90.1283
0,41.6785,-88.1262
0,41.7481,-87.6844
0,35.9466,-77.8033
1,34.7588,-77.5261
0,29.9806,-90.0338
0,34.6619,-92.3236
0,42.6318,-73.7757
0,30.4817,-91.1487
0,44.565,-91.6675
0,34.7351,-86.6235
0,40.2398,-77.2268
1,32.4601,-93.7846
0,39.9331,-86.2332
0,34.7972,-86.5872
1,40.7527,-74.1881
0,36.4525,-77.6764
0,37.6351,-77.545
0,41.6478,-93.4751
0,39.166,-76.6044
1,40.0886,-82.9293
0,36.7459,-76.5806
1,34.0203,-78.0444
0,32.4321,-84.9446
0,39.5393,-75.6674
1,40.8179,-73.8508
0,46.2063,-119.179
0,34.959,-120.527
0,39.3635,-74.4295
1,40.04,-75.1328
0,30.6582,-96.3501
0,29.9133,-90.0591
0,39.5393,-75.6674
0,39.7402,-75.5497
0,26.976,-82.1172
1,28.5756,-81.473
0,29.7816,-95.3403
1,35.3532,-119.05
0,47.1694,-122.43
0,32.4573,-80.7335
0,33.6112,-84.4723
0,37.5773,-77.3804
0,40.7583,-74.2489
0,38.9062,-76.9263
1,29.2012,-81.0582
1,34.9163,-92.5136
1,41.7006,-71.1613
0,29.9099,-95.5812
2,39.974,-75.2433
0,43.0232,-83.7162
1,34.5097,-86.7131
0,39.3664,-74.4317
0,27.9102,-81.5864
0,30.4201,-86.617
0,41.3048,-72.923
1,28.8511,-82.4879
1,33.9455,-118.274
1,42.2874,-83.3049
0,32.4691,-85.0033
0,34.8041,-92.431
1,42.1306,-80.0752
0,35.2144,-80.9473
0,29.9902,-95.3368
0,39.298,-94.7167
0,44.6851,-69.5164
1,25.9373,-80.133
0,37.0341,-76.3628
0,29.9551,-90.0747
0,41.1781,-73.1608
