date,state,city_or_county,n_killed,n_injured,n_total,city_ascii,state_name,state_id,county_name
2014-01-31,Florida,Defuniak Springs,0,1,1,,,,
2014-01-31,Tennessee,Sullivan County,0,0,0,,,,
2014-01-31,Oregon,Mcminnville,0,0,0,,,,
2014-01-31,New Jersey,Millburn,0,0,0,,,,
2014-01-31,New Jersey,East Windsor,0,0,0,,,,
2014-01-31,Louisiana,Jefferson Parish,0,1,1,,,,
2014-01-31,Texas,Brazoria County,0,1,1,,,,
2014-02-01,Missouri,Lee,1,0,1,,,,
2014-02-01,Florida,Palm Beach County,0,0,0,,,,
2014-02-01,Florida,Port St,0,0,0,,,,
2014-02-01,Florida,Osceola County,0,1,1,,,,
2014-02-01,Iowa,Indianapolis,0,0,0,,,,
2014-02-01,Texas,Mcallen,2,0,2,,,,
2014-02-01,Illinois,Saint Louis,1,0,1,,,,
2014-02-01,Florida,Clay County,0,1,1,,,,
2014-02-01,Tennessee,Soddy Daisy,0,1,1,,,,
2014-02-01,Massachusetts,Mashpee,0,0,0,,,,
2014-02-01,Maryland,Hanover,0,0,0,,,,
2014-02-01,Louisiana,Jefferson Parish,1,0,1,,,,
2014-02-02,Texas,Oak Cliff,0,0,0,,,,
2014-02-02,Mississippi,Warren County,0,0,0,,,,
2014-02-02,Pennsylvania,Montgomery County,0,1,1,,,,
2014-02-02,Tennessee,Campbell County,1,0,1,,,,
2014-02-02,Nebraska,Lincoln County,0,0,0,,,,
2014-02-02,Texas,Chambers County,1,0,1,,,,
2014-02-02,North Carolina,Columbus County,1,0,1,,,,
2014-02-02,South Carolina,Lexington County,1,0,1,,,,
2014-02-02,Maine,West Gardiner,0,1,1,,,,
2014-02-02,North Carolina,Clarendon,1,0,1,,,,
2014-02-03,Maryland,Hyattsville ,0,1,1,,,,
2014-02-03,Mississippi,Mc Cool,1,0,1,,,,
2014-02-03,Virginia,Mc Lean ,1,0,1,,,,
2014-02-03,North Carolina,Winston,0,0,0,,,,
2014-02-03,Florida,Palm Beach County,0,0,0,,,,
2014-02-03,Virginia,Russell County,1,0,1,,,,
2014-02-03,Mississippi,Walthall County,1,0,1,,,,
2014-02-03,California,Boyle Heights,1,1,2,,,,
2014-02-03,New Jersey,Logan Township,0,0,0,,,,
2014-02-03,New Jersey,Pennsauken,0,0,0,,,,
2014-02-03,Texas,Cypress,4,0,4,,,,
2014-02-03,Maryland,Dover,0,0,0,,,,
2014-02-04,New Jersey,Pennsauken,0,0,0,,,,
2014-02-04,Georgia,Cobb County,0,1,1,,,,
2014-02-04,Arizona,Yuma County,0,0,0,,,,
2014-02-04,South Carolina,Richland County,0,1,1,,,,
2014-02-04,North Carolina,New Hanover County,0,1,1,,,,
2014-02-04,Michigan,Independence Township,1,0,1,,,,
2014-02-04,Vermont,Monkton,0,0,0,,,,
2014-02-04,Florida,Englewood ,0,0,0,,,,
2014-02-04,Tennessee,Fort Sanders,0,3,3,,,,
2014-02-04,Texas,Rusk County,1,0,1,,,,
2014-02-04,Missouri,Christian County,1,0,1,,,,
2014-02-04,Michigan,Bloomfield Township,0,1,1,,,,
2014-02-04,Alaska,Barrow,1,0,1,,,,
2014-02-04,New York,Rochester ,0,0,0,,,,
2014-02-04,North Carolina,Winston,0,0,0,,,,
2014-02-04,Pennsylvania,Wilkes,0,0,0,,,,
2014-02-04,Virginia,Russell County,1,0,1,,,,
2014-02-05,South Carolina,James Island,0,0,0,,,,
2014-02-05,South Carolina,Charleston County,0,0,0,,,,
2014-02-05,Mississippi,Lee County,0,0,0,,,,
2014-02-05,Tennessee,Campbell County,0,0,0,,,,
2014-02-05,Florida,Bay County,1,1,2,,,,
2014-02-05,Florida,Orange County,0,1,1,,,,
2014-02-05,North Carolina,Guilford County,0,0,0,,,,
2014-02-05,Mississippi,Prentiss County,0,0,0,,,,
2014-02-05,Florida,Orange County,0,0,0,,,,
2014-02-05,West Virginia,Wyoming County,0,1,1,,,,
2014-02-06,Maryland,Gwynn Oak,0,0,0,,,,
2014-02-06,Tennessee,Antioch,1,0,1,,,,
2014-02-06,Arkansas,De Valls Bluff ,1,0,1,,,,
2014-02-06,Oregon,Eagle Creek,1,0,1,,,,
2014-02-06,North Carolina,Winston,0,0,0,,,,
2014-02-06,Florida,Orange County,0,0,0,,,,
2014-02-06,Florida,Port St,1,0,1,,,,
2014-02-06,Oregon,Marysville,0,0,0,,,,
2014-02-06,Florida,Broward,0,0,0,,,,
2014-02-06,New York,Knox,0,0,0,,,,
2014-02-06,Vermont,Highgate,0,0,0,,,,
2014-02-07,Florida,Port St,0,0,0,,,,
2014-02-07,Texas,Mcallen,0,1,1,,,,
2014-02-07,Florida,Palm Beach County,0,0,0,,,,
2014-02-07,South Carolina,Fort Mill ,0,1,1,,,,
2014-02-07,Tennessee,Sullivan County,0,0,0,,,,
2014-02-07,Florida,Hillsborough,0,0,0,,,,
2014-02-07,Mississippi,Covington County,0,0,0,,,,
2014-02-07,Florida,Nassau County,0,0,0,,,,
2014-02-08,Texas,East Arlington,0,1,1,,,,
2014-02-08,Ohio,Cincinnati ,0,0,0,,,,
2014-02-08,New York,Long Island,0,1,1,,,,
2014-02-08,Texas,Mcallen,0,1,1,,,,
2014-02-08,Nevada,Washoe County,0,0,0,,,,
2014-02-08,Virginia,Bedford County,0,0,0,,,,
2014-02-08,New York,Amherst,0,1,1,,,,
2014-02-08,Idaho,Coeur D,0,0,0,,,,
2014-02-09,Louisiana,Calcasieu Parish,0,0,0,,,,
