date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
3/2/2015,Georgia,GA,Bartow,Cartersville,Cartersville,2,0,2
3/8/2015,Washington,WA,Yakima,Yakima,Yakima,1,0,1
3/9/2015,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,1,1,2
3/10/2015,Pennsylvania,PA,Northampton,Easton,Easton,0,0,0
3/11/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,1,1
3/13/2015,Texas,TX,McLennan,Waco,Waco,0,1,1
3/15/2015,California,CA,Monterey,Seaside,Seaside,1,1,2
3/16/2015,New York,NY,New York,New York,New York,0,2,2
3/18/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,1,0,1
3/18/2015,Texas,TX,Tarrant,Fort Worth,Fort Worth,0,1,1
3/19/2015,Michigan,MI,Washtenaw,Ypsilanti,Ypsilanti,0,0,0
3/20/2015,Rhode Island,RI,Washington,Carolina,Carolina,0,1,1
3/25/2015,Ohio,OH,Cuyahoga,Beachwood,Beachwood,0,0,0
3/27/2015,Washington,WA,King,Seattle,Seattle,1,0,1
3/27/2015,Kentucky,KY,Jefferson,Louisville,Louisville,0,1,1
3/28/2015,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,0,1,1
3/28/2015,Washington,WA,Kitsap,Bremerton,Bremerton,2,1,3
3/29/2015,New Jersey,NJ,Mercer,Trenton,Trenton,0,1,1
3/30/2015,Florida,FL,Broward,Fort Lauderdale,Fort Lauderdale,1,0,1
3/31/2015,Florida,FL,Broward,Hollywood,Hollywood,1,0,1
4/1/2015,Wisconsin,WI,Milwaukee,Milwaukee,Milwaukee,0,0,0
4/1/2015,Colorado,CO,Pueblo,Pueblo,Pueblo,0,0,0
4/2/2015,Ohio,OH,Montgomery,Dayton,Dayton,0,1,1
4/3/2015,Washington,WA,Spokane,Spokane,Spokane,0,0,0
4/4/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,1,0,1
4/11/2015,Utah,UT,Duchesne,Roosevelt,Roosevelt,1,0,1
4/16/2015,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,0,1,1
4/17/2015,New Hampshire,NH,Rockingham,Exeter,Exeter,0,0,0
4/17/2015,Michigan,MI,Muskegon,Muskegon,Muskegon,1,0,1
4/20/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/20/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/20/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,0,0
4/22/2015,New York,NY,Oneida,Clinton,Clinton,1,0,1
4/22/2015,Florida,FL,Miami-Dade,Hialeah,Hialeah,0,0,0
4/22/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,1,0,1
4/22/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/22/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/22/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/23/2015,Pennsylvania,PA,Luzerne,Pittston,Pittston,0,0,0
4/23/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/23/2015,Kentucky,KY,Jefferson,Louisville,Louisville,0,0,0
4/25/2015,Nevada,NV,Washoe,Sparks,Sparks,1,1,2
4/26/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,0,0
4/26/2015,Minnesota,MN,Hennepin,Osseo,Osseo,1,0,1
4/27/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,0,1,1
4/29/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/29/2015,Pennsylvania,PA,Cumberland,Lemoyne,Lemoyne,0,0,0
4/30/2015,Texas,TX,Guadalupe,Schertz,Schertz,1,0,1
4/30/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
4/30/2015,New York,NY,Washington,Fort Edward,Fort Edward,0,0,0
5/1/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,0,0
5/1/2015,Maryland,MD,Prince George's,Hyattsville,Hyattsville,0,0,0
5/2/2015,California,CA,Yuba,Marysville,Marysville,0,2,2
5/3/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/3/2015,New York,NY,New York,New York,New York,0,1,1
5/5/2015,New Jersey,NJ,Atlantic,Absecon,Absecon,0,0,0
5/7/2015,Oregon,OR,Washington,Beaverton,Beaverton,0,0,0
5/7/2015,Arkansas,AR,Cleburne,Quitman,Quitman,0,0,0
5/8/2015,New York,NY,New York,New York,New York,1,0,1
5/10/2015,Minnesota,MN,Ramsey,Saint Paul,Saint Paul,0,1,1
5/10/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/10/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/11/2015,Utah,UT,Utah,American Fork,American Fork,0,0,0
5/11/2015,Michigan,MI,Oakland,Lake Orion,Lake Orion,0,0,0
5/13/2015,Colorado,CO,Arapahoe,Englewood,Englewood,1,0,1
5/14/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/14/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/18/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/19/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/21/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/21/2015,Pennsylvania,PA,Delaware,Darby,Darby,0,0,0
5/22/2015,Pennsylvania,PA,Northampton,Easton,Easton,0,0,0
5/22/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
5/24/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,1,0,1
5/25/2015,Vermont,VT,Orleans,Orleans,Orleans,1,0,1
5/26/2015,Illinois,IL,Cook,Chicago,Chicago,0,1,1
5/28/2015,Washington,WA,King,Seattle,Seattle,0,1,1
5/28/2015,Colorado,CO,Denver,Denver,Denver,1,1,2
6/1/2015,Louisiana,LA,Jefferson,Gretna,Gretna,1,1,2
6/1/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/1/2015,New York,NY,Monroe,Rochester,Rochester,1,0,1
6/1/2015,Colorado,CO,Pueblo,Pueblo,Pueblo,0,1,1
6/3/2015,Washington,WA,Grant,Mattawa,Mattawa,0,0,0
6/4/2015,Washington,WA,Pierce,Tacoma,Tacoma,0,1,1
6/4/2015,Ohio,OH,Cuyahoga,Beachwood,Beachwood,1,0,1
6/5/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/5/2015,Maine,ME,Piscataquis,Guilford,Guilford,1,1,2
6/5/2015,Washington,WA,Kitsap,Bremerton,Bremerton,0,0,0
6/6/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/7/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,3,0,3
6/7/2015,Oregon,OR,Multnomah,Portland,Portland,1,1,2
6/7/2015,Indiana,IN,Delaware,Eaton,Eaton,0,1,1
6/7/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,1,0,1
6/7/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,0,0
6/8/2015,Florida,FL,Volusia,Daytona Beach,Daytona Beach,0,4,4
6/8/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,0,0
6/8/2015,Alabama,AL,Mobile,Mobile,Mobile,2,0,2
6/8/2015,Michigan,MI,Muskegon,Muskegon,Muskegon,0,2,2
6/8/2015,New York,NY,New York,New York,New York,0,1,1
6/8/2015,Washington,WA,King,Seattle,Seattle,0,1,1
6/9/2015,Pennsylvania,PA,Delaware,Lansdowne,Lansdowne,1,0,1
6/9/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,0,0
6/10/2015,California,CA,Los Angeles,Los Angeles,Los Angeles,0,0,0
6/10/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,1,1
6/10/2015,Colorado,CO,Denver,Denver,Denver,0,1,1
6/10/2015,Tennessee,TN,Hamilton,Chattanooga,Chattanooga,0,1,1
6/10/2015,California,CA,Los Angeles,Los Angeles,Los Angeles,0,1,1
6/10/2015,Pennsylvania,PA,Allegheny,Pittsburgh,Pittsburgh,0,3,3
6/10/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,1,0,1
6/10/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,1,1
6/10/2015,Florida,FL,Broward,Fort Lauderdale,Fort Lauderdale,0,2,2
6/10/2015,New York,NY,New York,New York,New York,0,1,1
6/11/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,0,0
6/11/2015,Oregon,OR,Multnomah,Portland,Portland,0,0,0
6/11/2015,Florida,FL,Pinellas,Saint Petersburg,Saint Petersburg,0,0,0
6/11/2015,Georgia,GA,Fulton,Atlanta,Atlanta,1,0,1
6/12/2015,Florida,FL,Orange,Orlando,Orlando,0,1,1
6/13/2015,New York,NY,New York,New York,New York,0,1,1
6/13/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,1,1
6/13/2015,Maryland,MD,Prince George's,District Heights,District Heights,1,0,1
6/13/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/13/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,0,0
6/14/2015,New York,NY,New York,New York,New York,0,0,0
6/14/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,1,0,1
6/14/2015,Vermont,VT,Franklin,Saint Albans,Saint Albans,0,0,0
6/14/2015,New York,NY,Monroe,Rochester,Rochester,0,0,0
6/14/2015,Georgia,GA,Fulton,Alpharetta,Alpharetta,0,0,0
6/15/2015,Kentucky,KY,Hart,Munfordville,Munfordville,1,0,1
6/15/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,0,1,1
6/15/2015,Illinois,IL,Cook,Lincolnwood,Lincolnwood,0,1,1
6/15/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,2,2
6/15/2015,Illinois,IL,Madison,Granite City,Granite City,0,0,0
6/15/2015,Pennsylvania,PA,Allegheny,Pittsburgh,Pittsburgh,0,1,1
6/16/2015,New York,NY,New York,New York,New York,0,0,0
6/17/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,1,1
6/17/2015,Florida,FL,Volusia,Daytona Beach,Daytona Beach,0,0,0
6/17/2015,South Carolina,SC,Beaufort,Beaufort,Beaufort,0,1,1
6/17/2015,Pennsylvania,PA,Allegheny,Pittsburgh,Pittsburgh,0,0,0
6/18/2015,Florida,FL,Hillsborough,Tampa,Tampa,0,1,1
6/18/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,0,1,1
6/18/2015,Michigan,MI,Muskegon,Muskegon,Muskegon,0,1,1
6/18/2015,New York,NY,New York,New York,New York,1,0,1
6/18/2015,Missouri,MO,St. Louis,Ballwin,Ballwin,2,0,2
6/18/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/18/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,1,1
6/18/2015,Georgia,GA,Fulton,Alpharetta,Alpharetta,0,0,0
6/19/2015,Florida,FL,Broward,Fort Lauderdale,Fort Lauderdale,1,2,3
6/19/2015,Florida,FL,Palm Beach,Palm Beach Gardens,Palm Beach Gardens,0,0,0
6/19/2015,New York,NY,Genesee,Corfu,Corfu,0,0,0
6/19/2015,Oklahoma,OK,Oklahoma,Oklahoma City,Oklahoma City,0,1,1
6/19/2015,Washington,WA,Snohomish,Marysville,Marysville,1,0,1
6/19/2015,Ohio,OH,Franklin,Columbus,Columbus,0,1,1
6/20/2015,Illinois,IL,Cook,Chicago Heights,Chicago Heights,0,0,0
6/20/2015,Florida,FL,Miami-Dade,Miami,Miami,1,0,1
6/21/2015,Louisiana,LA,Orleans,New Orleans,New Orleans,1,0,1
6/21/2015,Arizona,AZ,Mohave,Littlefield,Littlefield,0,1,1
6/21/2015,Massachusetts,MA,Middlesex,Marlborough,Marlborough,0,0,0
6/21/2015,Pennsylvania,PA,Allegheny,Pittsburgh,Pittsburgh,0,4,4
6/21/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/21/2015,Florida,FL,Orange,Orlando,Orlando,0,0,0
6/22/2015,Vermont,VT,Windsor,South Royalton,South Royalton,0,0,0
6/22/2015,New York,NY,New York,New York,New York,0,1,1
6/22/2015,New York,NY,New York,New York,New York,0,1,1
6/22/2015,Georgia,GA,Fulton,Atlanta,Atlanta,1,0,1
6/22/2015,New York,NY,New York,New York,New York,0,0,0
6/23/2015,California,CA,Contra Costa,Pittsburg,Pittsburg,1,1,2
6/23/2015,New Jersey,NJ,Camden,Clementon,Clementon,0,1,1
6/23/2015,Alabama,AL,DeKalb,Rainsville,Rainsville,0,1,1
6/23/2015,New Jersey,NJ,Atlantic,Absecon,Absecon,0,1,1
6/23/2015,Ohio,OH,Summit,Northfield,Northfield,1,0,1
6/23/2015,New York,NY,New York,New York,New York,0,1,1
6/23/2015,Illinois,IL,St. Clair,East Saint Louis,East Saint Louis,0,1,1
6/23/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,0,0
6/23/2015,Colorado,CO,Costilla,San Luis,San Luis,1,0,1
6/24/2015,Arkansas,AR,Baxter,Mountain Home,Mountain Home,0,0,0
6/24/2015,New York,NY,New York,New York,New York,0,4,4
6/24/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,0,0
6/24/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,1,1
6/24/2015,Colorado,CO,Denver,Denver,Denver,0,0,0
6/24/2015,California,CA,Contra Costa,Pittsburg,Pittsburg,1,0,1
6/24/2015,Louisiana,LA,Jefferson,Westwego,Westwego,0,1,1
6/24/2015,Oklahoma,OK,Oklahoma,Oklahoma City,Oklahoma City,0,0,0
6/24/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/25/2015,Oklahoma,OK,Oklahoma,Oklahoma City,Oklahoma City,0,1,1
6/25/2015,Ohio,OH,Auglaize,Saint Marys,Saint Marys,0,0,0
6/25/2015,Georgia,GA,Gwinnett,Norcross,Norcross,0,1,1
6/25/2015,Indiana,IN,Marion,Indianapolis,Indianapolis,0,2,2
6/25/2015,Ohio,OH,Cuyahoga,Cleveland,Cleveland,0,0,0
6/25/2015,Louisiana,LA,Orleans,New Orleans,New Orleans,0,1,1
6/26/2015,New York,NY,New York,New York,New York,0,1,1
6/26/2015,New York,NY,Monroe,Rochester,Rochester,0,0,0
6/26/2015,Pennsylvania,PA,Luzerne,Pittston,Pittston,0,0,0
6/26/2015,Alabama,AL,Jefferson,Birmingham,Birmingham,0,1,1
6/26/2015,Georgia,GA,Bulloch,Brooklet,Brooklet,0,1,1
6/26/2015,Louisiana,LA,Jefferson,Gretna,Gretna,0,1,1
6/26/2015,Louisiana,LA,Orleans,New Orleans,New Orleans,0,4,4
6/26/2015,Ohio,OH,Lorain,Amherst,Amherst,1,0,1
6/27/2015,Maine,ME,York,Alfred,Alfred,0,0,0
6/27/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
6/27/2015,New York,NY,New York,New York,New York,1,0,1
6/28/2015,Florida,FL,St. Johns,Saint Augustine,Saint Augustine,0,0,0
6/28/2015,Alabama,AL,Jefferson,Birmingham,Birmingham,1,0,1
6/28/2015,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,1,1
6/28/2015,Georgia,GA,Richmond,Augusta,Augusta,0,0,0
6/29/2015,Florida,FL,Pinellas,Saint Petersburg,Saint Petersburg,0,0,0
6/29/2015,Alabama,AL,Jefferson,Birmingham,Birmingham,0,1,1
6/29/2015,Michigan,MI,Muskegon,Muskegon,Muskegon,1,0,1
6/29/2015,New York,NY,New York,New York,New York,1,2,3
6/29/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,0,0
6/29/2015,Kentucky,KY,McCracken,Paducah,Paducah,0,0,0
6/29/2015,New York,NY,Fulton,Northville,Northville,1,0,1
6/30/2015,Alabama,AL,Mobile,Mobile,Mobile,1,0,1
6/30/2015,Washington,WA,King,Seattle,Seattle,0,1,1
6/30/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,0,0,0
6/30/2015,Michigan,MI,Oakland,Bloomfield Hills,Bloomfield Hills,0,0,0
6/30/2015,Florida,FL,Broward,Fort Lauderdale,Fort Lauderdale,1,0,1
6/30/2015,Ohio,OH,Cuyahoga,Cleveland,Cleveland,0,1,1
6/30/2015,California,CA,Los Angeles,Los Angeles,Los Angeles,1,0,1
7/1/2015,Georgia,GA,Jackson,Jefferson,Jefferson,0,0,0
7/1/2015,Colorado,CO,Denver,Denver,Denver,0,0,0
7/1/2015,Oregon,OR,Josephine,Wolf Creek,Wolf Creek,1,0,1
7/1/2015,New Hampshire,NH,Coos,Colebrook,Colebrook,1,0,1
7/1/2015,Oregon,OR,Josephine,Wolf Creek,Wolf Creek,0,0,0
7/1/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,0,0
7/2/2015,Texas,TX,Dallas,Dallas,Dallas,0,0,0
7/2/2015,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,0,1,1
