date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
5/29/2015,Kansas,KS,Montgomery,Montgomery,,0,0,0
5/30/2015,Colorado,CO,Jefferson,Jefferson,,0,0,0
5/30/2015,Arkansas,AR,Izard,Izard,,1,0,1
5/30/2015,Oklahoma,OK,Muskogee,Muskogee,,0,0,0
5/30/2015,Mississippi,MS,Lee,Lee,,0,1,1
5/30/2015,Missouri,MO,Lincoln,Lincoln,,0,1,1
5/30/2015,Florida,FL,Orange,Orange,,0,1,1
5/31/2015,Alabama,AL,Cullman,Cullman,,0,1,1
5/31/2015,California,CA,Fresno,Fresno,,1,0,1
5/31/2015,Pennsylvania,PA,Luzerne,Luzerne,,0,0,0
5/31/2015,Texas,TX,Liberty,Liberty,,0,1,1
5/31/2015,Arkansas,AR,Madison,Madison,,0,1,1
6/1/2015,Kentucky,KY,Floyd,Floyd,,1,0,1
6/1/2015,Oregon,OR,Clackamas,Clackamas,,0,0,0
6/1/2015,Texas,TX,Titus,Titus,,0,0,0
6/1/2015,North Carolina,NC,Burke,Burke,,1,1,2
6/1/2015,Tennessee,TN,Coffee,Coffee,,1,2,3
6/1/2015,Texas,TX,Harris,Harris,,1,0,1
6/1/2015,Kentucky,KY,Bell,Bell,,1,0,1
6/2/2015,Florida,FL,Miami-dade,Miami-dade,,0,1,1
6/2/2015,Kentucky,KY,Martin,Martin,,1,0,1
6/2/2015,New York,NY,Cortland,Cortland,,0,0,0
6/2/2015,California,CA,Kern,Kern,,0,0,0
6/2/2015,Arkansas,AR,Faulkner,Faulkner,,0,1,1
6/2/2015,Oregon,OR,Linn,Linn,,0,0,0
6/2/2015,Texas,TX,Gregg,Gregg,,1,0,1
6/2/2015,Ohio,OH,Fairfield,Fairfield,,0,0,0
6/2/2015,Virginia,VA,Dickenson,Dickenson,,0,0,0
6/2/2015,Texas,TX,Jack,Jack,,1,0,1
6/3/2015,Oklahoma,OK,Cotton,Cotton,,0,1,1
6/3/2015,Colorado,CO,Weld,Weld,,1,0,1
6/3/2015,South Carolina,SC,Horry,Horry,,0,1,1
6/3/2015,Illinois,IL,Massac,Massac,,0,0,0
6/4/2015,Florida,FL,Orange,Orange,,0,0,0
6/4/2015,North Carolina,NC,Gaston,Gaston,,1,0,1
6/4/2015,Georgia,GA,Cherokee,Cherokee,,0,0,0
6/5/2015,West Virginia,WV,Monongalia,Monongalia,,1,0,1
6/5/2015,Nevada,NV,Clark,Clark,,0,0,0
6/5/2015,California,CA,Humboldt,Humboldt,,0,1,1
6/6/2015,Iowa,IA,Emmet,Emmet,,1,0,1
6/6/2015,Florida,FL,Miami-dade,Miami-dade,,1,0,1
6/6/2015,Mississippi,MS,Leake,Leake,,1,2,3
6/6/2015,Florida,FL,Manatee,Manatee,,0,3,3
6/6/2015,Texas,TX,Chambers,Chambers,,1,0,1
6/6/2015,Illinois,IL,Saint Clair,Saint Clair,,0,0,0
6/6/2015,Texas,TX,Jefferson,Jefferson,,1,0,1
6/6/2015,Kentucky,KY,Lincoln,Lincoln,,0,0,0
6/7/2015,Oklahoma,OK,Seminole,Seminole,,0,0,0
6/7/2015,West Virginia,WV,Kanawha,Kanawha,,1,0,1
6/7/2015,Alabama,AL,Cullman,Cullman,,0,0,0
6/7/2015,Mississippi,MS,Panola,Panola,,0,0,0
6/7/2015,Missouri,MO,Cooper,Cooper,,1,0,1
6/7/2015,Florida,FL,Collier,Collier,,0,0,0
6/8/2015,Alabama,AL,Jefferson,Jefferson,,1,0,1
6/8/2015,Virginia,VA,Hanover,Hanover,,0,0,0
6/8/2015,Mississippi,MS,Jackson,Jackson,,2,0,2
