date,state,city_or_county,n_killed,n_injured,n_total,county
9/13/2015,North Carolina,Robeson,1,0,1,Robeson
9/13/2015,Kentucky,Whitley,0,1,1,Whitley
9/14/2015,Wisconsin,Manitowoc,0,0,0,Manitowoc
9/14/2015,Florida,Flagler,0,0,0,Flagler
9/14/2015,South Carolina,Pickens,2,0,2,Pickens
9/14/2015,South Carolina,Horry,1,0,1,Horry
9/14/2015,Oklahoma,Osage,0,0,0,Osage
9/14/2015,South Carolina,Richland,0,1,1,Richland
9/15/2015,Colorado,Weld,0,1,1,Weld
9/15/2015,New Mexico,Bernalillo,1,1,2,Bernalillo
9/15/2015,Kansas,Sedgwick,0,1,1,Sedgwick
9/15/2015,Texas,Fort Bend,0,0,0,Fort Bend
9/15/2015,Missouri,Saint Louis,1,0,1,Saint Louis
9/15/2015,Alabama,Blount,2,0,2,Blount
9/15/2015,Florida,Miami-dade,1,0,1,Miami-dade
9/15/2015,South Carolina,Richland,0,1,1,Richland
9/15/2015,Wyoming,Natrona,0,0,0,Natrona
9/15/2015,Missouri,Lincoln,0,0,0,Lincoln
9/16/2015,South Dakota,Lawrence,1,0,1,Lawrence
9/16/2015,Tennessee,Haywood,0,0,0,Haywood
9/16/2015,Mississippi,Kemper,0,1,1,Kemper
9/17/2015,North Carolina,Surry,0,0,0,Surry
9/17/2015,Oregon,Marion,0,0,0,Marion
9/17/2015,New Mexico,Dona Ana,0,0,0,Dona Ana
9/17/2015,California,Kern,0,0,0,Kern
9/17/2015,California,Tehama,1,0,1,Tehama
9/17/2015,Tennessee,Montgomery,0,0,0,Montgomery
9/17/2015,Missouri,Mcdonald,1,0,1,Mcdonald
9/17/2015,Michigan,Gladwin,1,0,1,Gladwin
9/17/2015,South Carolina,Horry,0,2,2,Horry
9/17/2015,South Carolina,Richland,0,1,1,Richland
9/17/2015,Virginia,Henrico,0,0,0,Henrico
9/18/2015,South Carolina,Horry,0,1,1,Horry
9/18/2015,North Carolina,Lenoir,0,1,1,Lenoir
9/18/2015,Michigan,Tuscola,0,0,0,Tuscola
9/18/2015,Alabama,Madison,1,0,1,Madison
9/18/2015,Missouri,Stone,0,1,1,Stone
9/18/2015,Colorado,Boulder,0,0,0,Boulder
9/18/2015,West Virginia,Randolph,0,1,1,Randolph
9/19/2015,Oklahoma,Pottawatomie,1,0,1,Pottawatomie
9/19/2015,Missouri,Boone,2,0,2,Boone
9/19/2015,Missouri,Christian,0,0,0,Christian
9/19/2015,Iowa,Madison,0,1,1,Madison
9/19/2015,Tennessee,Shelby,0,2,2,Shelby
9/20/2015,Colorado,Jefferson,1,0,1,Jefferson
9/20/2015,Texas,Montgomery,0,0,0,Montgomery
9/20/2015,Texas,Montgomery,0,0,0,Montgomery
9/20/2015,Alabama,Baldwin,0,0,0,Baldwin
9/20/2015,Georgia,Crawford,2,0,2,Crawford
9/20/2015,Alabama,Madison,1,0,1,Madison
9/20/2015,Missouri,Greene,1,0,1,Greene
9/21/2015,South Carolina,Richland,0,1,1,Richland
9/21/2015,Kansas,Shawnee,0,1,1,Shawnee
9/21/2015,Virginia,Fairfax,1,0,1,Fairfax
9/21/2015,North Carolina,Sampson,0,1,1,Sampson
9/22/2015,Mississippi,Covington,0,1,1,Covington
9/22/2015,North Carolina,Gaston,0,0,0,Gaston
9/22/2015,Montana,Yellowstone,1,0,1,Yellowstone
9/22/2015,New York,Yates,0,0,0,Yates
9/22/2015,Kentucky,Carter,0,0,0,Carter
9/22/2015,Texas,Montgomery,0,0,0,Montgomery
9/22/2015,Washington,Benton,0,0,0,Benton
9/23/2015,California,Stanislaus,0,1,1,Stanislaus
9/23/2015,South Carolina,Dillon,0,1,1,Dillon
9/23/2015,Indiana,Jennings,0,0,0,Jennings
9/23/2015,Virginia,Grayson,1,0,1,Grayson
9/23/2015,Virginia,Chesterfield,0,0,0,Chesterfield
9/23/2015,Mississippi,Marion,1,0,1,Marion
9/24/2015,Texas,Montgomery,0,0,0,Montgomery
9/24/2015,Alabama,Montgomery,0,1,1,Montgomery
9/24/2015,Virginia,Albemarle,0,1,1,Albemarle
9/24/2015,South Carolina,Aiken,0,0,0,Aiken
9/24/2015,Missouri,Franklin,0,0,0,Franklin
9/24/2015,Tennessee,Montgomery,0,0,0,Montgomery
9/25/2015,South Carolina,Lancaster,0,0,0,Lancaster
9/25/2015,Mississippi,Lamar,0,1,1,Lamar
9/25/2015,Virginia,Henrico,0,0,0,Henrico
9/25/2015,Virginia,Pittsylvania,0,0,0,Pittsylvania
9/26/2015,South Carolina,Dorchester,0,1,1,Dorchester
9/26/2015,Arkansas,Baxter,0,0,0,Baxter
9/26/2015,Georgia,Madison,0,0,0,Madison
9/27/2015,Virginia,York,0,0,0,York
9/27/2015,Ohio,Wayne,0,1,1,Wayne
9/27/2015,Tennessee,Grundy,1,0,1,Grundy
9/27/2015,Mississippi,Jones,0,0,0,Jones
9/27/2015,South Carolina,Berkeley,1,0,1,Berkeley
9/27/2015,Oregon,Marion,0,0,0,Marion
9/27/2015,Minnesota,Crow Wing,0,1,1,Crow Wing
9/27/2015,Indiana,Scott,1,0,1,Scott
9/27/2015,Missouri,Saint Charles,0,0,0,Saint Charles
9/27/2015,Minnesota,Otter Tail,0,0,0,Otter Tail
9/28/2015,South Carolina,Beaufort,0,0,0,Beaufort
9/28/2015,Idaho,Gooding,0,0,0,Gooding
9/28/2015,Kentucky,Graves,0,0,0,Graves
9/28/2015,Florida,Orange,0,1,1,Orange
9/28/2015,Florida,Miami-dade,1,0,1,Miami-dade
9/28/2015,Wyoming,Natrona,0,0,0,Natrona
9/28/2015,Texas,Cherokee,1,0,1,Cherokee
9/28/2015,Virginia,York,0,0,0,York
9/28/2015,Wyoming,Natrona,0,0,0,Natrona
9/29/2015,Indiana,Dekalb,0,0,0,Dekalb
9/29/2015,Wyoming,Natrona,0,0,0,Natrona
9/29/2015,Alabama,Limestone,0,1,1,Limestone
9/30/2015,Texas,Marion,0,1,1,Marion
9/30/2015,Florida,Lee,0,1,1,Lee
10/1/2015,Iowa,Washington,0,0,0,Washington
10/1/2015,Virginia,Bedford,1,0,1,Bedford
10/1/2015,New Jersey,Camden,0,0,0,Camden
10/1/2015,Florida,Miami-dade,1,0,1,Miami-dade
10/1/2015,Wyoming,Natrona,0,0,0,Natrona
10/2/2015,Texas,Houston,0,0,0,Houston
10/2/2015,Nevada,Elko,1,0,1,Elko
10/2/2015,Texas,Upshur,0,0,0,Upshur
10/2/2015,Texas,Harris,0,1,1,Harris
10/3/2015,Wyoming,Natrona,0,0,0,Natrona
10/3/2015,Montana,Flathead,0,2,2,Flathead
10/3/2015,Virginia,Henry,0,1,1,Henry
10/3/2015,Texas,Harris,0,1,1,Harris
10/3/2015,South Carolina,Beaufort,0,0,0,Beaufort
10/5/2015,South Carolina,Richland,0,1,1,Richland
10/5/2015,Kansas,Labette,0,0,0,Labette
10/5/2015,Florida,Orange,0,1,1,Orange
10/5/2015,Georgia,Bulloch,0,0,0,Bulloch
10/6/2015,Oregon,Linn,0,0,0,Linn
10/6/2015,Colorado,Douglas,0,0,0,Douglas
10/6/2015,Arizona,Pinal,0,1,1,Pinal
10/7/2015,Michigan,Wayne,0,0,0,Wayne
10/7/2015,Florida,Orange,1,0,1,Orange
10/7/2015,Missouri,Saint Louis,0,1,1,Saint Louis
10/7/2015,North Carolina,Rowan,0,0,0,Rowan
10/7/2015,Tennessee,Putnam,1,1,2,Putnam
10/7/2015,Texas,Limestone,0,0,0,Limestone
10/7/2015,Oregon,Umatilla,1,0,1,Umatilla
10/8/2015,Alabama,Tallapoosa,2,0,2,Tallapoosa
10/8/2015,Oregon,Marion,0,0,0,Marion
10/8/2015,Missouri,Callaway,0,0,0,Callaway
10/8/2015,Pennsylvania,Lancaster,0,0,0,Lancaster
10/8/2015,Missouri,Saint Louis,1,0,1,Saint Louis
10/8/2015,Michigan,Charlevoix,0,0,0,Charlevoix
10/8/2015,South Carolina,Richland,1,0,1,Richland
10/9/2015,North Carolina,Catawba,1,0,1,Catawba
10/9/2015,Mississippi,Rankin,0,1,1,Rankin
10/9/2015,West Virginia,Randolph,0,1,1,Randolph
10/9/2015,Washington,Spokane,0,0,0,Spokane
10/10/2015,Mississippi,Lawrence,1,0,1,Lawrence
10/10/2015,Kansas,Sedgwick,0,1,1,Sedgwick
10/10/2015,Florida,Orange,0,3,3,Orange
10/10/2015,Utah,Cache,1,0,1,Cache
10/11/2015,Michigan,Mecosta,0,1,1,Mecosta
10/11/2015,Florida,Manatee,0,1,1,Manatee
10/11/2015,South Carolina,Georgetown,0,1,1,Georgetown
10/11/2015,Kentucky,Jessamine,0,0,0,Jessamine
10/12/2015,Florida,Orange,0,0,0,Orange
10/12/2015,South Carolina,York,1,0,1,York
10/13/2015,North Carolina,Bladen,1,0,1,Bladen
10/13/2015,Utah,Emery,0,0,0,Emery
10/13/2015,Michigan,Genesee,0,1,1,Genesee
10/13/2015,Michigan,Emmet,0,0,0,Emmet
10/13/2015,Wyoming,Natrona,0,0,0,Natrona
10/13/2015,Florida,Miami-dade,1,0,1,Miami-dade
10/14/2015,New Mexico,Dona Ana,0,0,0,Dona Ana
10/14/2015,Virginia,Campbell,0,1,1,Campbell
10/14/2015,Kentucky,Perry,0,1,1,Perry
10/14/2015,Arkansas,Benton,0,0,0,Benton
10/14/2015,Arkansas,Carroll,0,0,0,Carroll
10/14/2015,Florida,Miami-dade,0,1,1,Miami-dade
10/14/2015,Alabama,Conecuh,1,0,1,Conecuh
10/14/2015,Florida,Collier,1,0,1,Collier
10/15/2015,Florida,Miami-dade,1,0,1,Miami-dade
10/15/2015,Kentucky,Lincoln,0,0,0,Lincoln
10/15/2015,Colorado,El Paso,0,1,1,El Paso
10/15/2015,Florida,Orange,0,0,0,Orange
10/15/2015,Arkansas,Benton,0,0,0,Benton
10/15/2015,Florida,Orange,0,1,1,Orange
10/16/2015,Missouri,Lincoln,0,0,0,Lincoln
10/16/2015,South Carolina,Georgetown,0,0,0,Georgetown
10/16/2015,Tennessee,Mcminn,0,1,1,Mcminn
10/17/2015,Oklahoma,Canadian,2,1,3,Canadian
10/17/2015,Virginia,Chesterfield,1,0,1,Chesterfield
10/17/2015,North Dakota,Ward,0,0,0,Ward
10/17/2015,Florida,Miami-dade,1,2,3,Miami-dade
10/18/2015,Missouri,Cole,0,0,0,Cole
10/18/2015,California,Kern,0,1,1,Kern
10/18/2015,Alabama,Tuscaloosa,0,1,1,Tuscaloosa
10/18/2015,South Carolina,Beaufort,0,1,1,Beaufort
10/18/2015,Florida,Miami-dade,1,1,2,Miami-dade
10/18/2015,Alabama,Tuscaloosa,0,0,0,Tuscaloosa
10/19/2015,Florida,Miami-dade,1,0,1,Miami-dade
10/19/2015,Oregon,Marion,0,0,0,Marion
10/19/2015,Florida,Orange,0,2,2,Orange
10/19/2015,Florida,Palm Beach,0,0,0,Palm Beach
10/19/2015,Ohio,Gallia,0,0,0,Gallia
10/19/2015,Alabama,Walker,0,1,1,Walker
10/19/2015,Arkansas,Garland,2,0,2,Garland
10/19/2015,Colorado,El Paso,0,1,1,El Paso
10/20/2015,Michigan,Ottawa,0,0,0,Ottawa
10/20/2015,Michigan,Ottawa,0,0,0,Ottawa
10/20/2015,North Carolina,Franklin,1,0,1,Franklin
10/20/2015,Michigan,Ottawa,0,0,0,Ottawa
10/20/2015,California,Calaveras,3,0,3,Calaveras
