date,state,city_or_county,n_killed,n_injured,n_total,county
12/21/2014,Maine,Mercer,0,0,0,Mercer
12/21/2014,Massachusetts,Dorchester,0,0,0,Dorchester
12/22/2014,Vermont,Guilford,0,0,0,Guilford
12/23/2014,Massachusetts,Dorchester,0,0,0,Dorchester
12/23/2014,West Virginia,Terry,0,1,1,Terry
12/24/2014,Vermont,Montgomery,0,0,0,Montgomery
12/25/2014,Massachusetts,Dorchester,0,3,3,Dorchester
12/28/2014,Connecticut,Monroe,0,0,0,Monroe
12/31/2014,New York,Niagara,0,1,1,Niagara
12/31/2014,Massachusetts,Dorchester,0,0,0,Dorchester
12/31/2014,Georgia,LaGrange,0,1,1,LaGrange
1/1/2015,Massachusetts,Richmond,0,0,0,Richmond
1/1/2015,Virginia,Henrico,0,2,2,Henrico
1/2/2015,Maryland,Anne Arundel,0,1,1,Anne Arundel
1/4/2015,Massachusetts,Dorchester,0,1,1,Dorchester
1/5/2015,Connecticut,Fairfield,0,0,0,Fairfield
1/6/2015,New Hampshire,Salem,0,0,0,Salem
1/7/2015,Virginia,Henrico,0,0,0,Henrico
1/8/2015,Florida,Miami-Dade,0,0,0,Miami-Dade
1/8/2015,Delaware,Kent,0,1,1,Kent
1/9/2015,Maine,Windsor,0,1,1,Windsor
1/10/2015,Massachusetts,Dorchester,0,0,0,Dorchester
1/12/2015,Maine,Jefferson,0,0,0,Jefferson
1/13/2015,Massachusetts,Dorchester,0,0,0,Dorchester
1/13/2015,Massachusetts,Dorchester,0,0,0,Dorchester
1/13/2015,Florida,Miami-Dade,0,0,0,Miami-Dade
1/13/2015,New Jersey,Warren,0,0,0,Warren
1/13/2015,Florida,Jackson,0,0,0,Jackson
1/14/2015,Massachusetts,Dorchester,0,0,0,Dorchester
1/14/2015,Wisconsin,Campbell,0,0,0,Campbell
1/14/2015,Texas,Fort Bend,0,1,1,Fort Bend
1/15/2015,Delaware,Sussex,0,0,0,Sussex
1/16/2015,Virginia,Henrico,1,0,1,Henrico
1/16/2015,Rhode Island,Richmond,0,0,0,Richmond
1/18/2015,Texas,Fort Bend,1,0,1,Fort Bend
1/20/2015,Virginia,Ringgold,0,0,0,Ringgold
1/20/2015,Vermont,New Haven,0,0,0,New Haven
1/20/2015,Tennessee,Madison,0,1,1,Madison
1/25/2015,Maine,Bristol,0,0,0,Bristol
1/25/2015,Texas,Porter,0,1,1,Porter
1/29/2015,Florida,Miami-Dade,0,0,0,Miami-Dade
1/30/2015,Vermont,Hartford,0,0,0,Hartford
2/2/2015,North Carolina,Anderson,1,0,1,Anderson
2/2/2015,Michigan,Erie,0,0,0,Erie
2/3/2015,Tennessee,Deer Lodge,1,0,1,Deer Lodge
2/3/2015,Pennsylvania,Jackson,0,1,1,Jackson
2/3/2015,New York,Dickinson,0,0,0,Dickinson
2/5/2015,Georgia,Fulton,0,1,1,Fulton
2/9/2015,Virginia,Henrico,0,1,1,Henrico
2/10/2015,Virginia,Dinwiddie,1,0,1,Dinwiddie
2/11/2015,Florida,Miami-Dade,0,0,0,Miami-Dade
2/11/2015,Florida,Miami-Dade,0,0,0,Miami-Dade
2/12/2015,Mississippi,Lamar,0,1,1,Lamar
2/15/2015,New Jersey,Montague,0,1,1,Montague
