,n_killed,latitude,longitude,output
142,3,29.0813,-81.0649,"{ lat: 29.0813, lng: -81.0649, count: 3 }"
143,3,29.164,-82.1187,"{ lat: 29.164, lng: -82.1187, count: 3 }"
144,3,30.1485,-96.7848,"{ lat: 30.1485, lng: -96.7848, count: 3 }"
145,3,47.5034,-122.25299999999999,"{ lat: 47.5034, lng: -122.25299999999999, count: 3 }"
146,3,39.5294,-119.88799999999999,"{ lat: 39.5294, lng: -119.88799999999999, count: 3 }"
147,3,27.1588,-80.2054,"{ lat: 27.1588, lng: -80.2054, count: 3 }"
148,3,42.5054,-114.491,"{ lat: 42.5054, lng: -114.491, count: 3 }"
149,3,34.3192,-79.3623,"{ lat: 34.3192, lng: -79.3623, count: 3 }"
150,3,33.71,-84.3798,"{ lat: 33.71, lng: -84.3798, count: 3 }"
151,3,34.7789,-79.1608,"{ lat: 34.7789, lng: -79.1608, count: 3 }"
152,3,34.6716,-79.3322,"{ lat: 34.6716, lng: -79.3322, count: 3 }"
153,3,35.4469,-80.7651,"{ lat: 35.4469, lng: -80.7651, count: 3 }"
154,3,27.5096,-82.6278,"{ lat: 27.5096, lng: -82.6278, count: 3 }"
155,3,30.6911,-88.0999,"{ lat: 30.6911, lng: -88.0999, count: 3 }"
156,3,27.9657,-82.395,"{ lat: 27.9657, lng: -82.395, count: 3 }"
157,3,29.4401,-98.5444,"{ lat: 29.4401, lng: -98.5444, count: 3 }"
158,3,39.8322,-104.994,"{ lat: 39.8322, lng: -104.994, count: 3 }"
159,3,30.7167,-88.7406,"{ lat: 30.7167, lng: -88.7406, count: 3 }"
160,3,32.8129,-83.6996,"{ lat: 32.8129, lng: -83.6996, count: 3 }"
161,3,34.7697,-92.3885,"{ lat: 34.7697, lng: -92.3885, count: 3 }"
162,3,40.6957,-73.9464,"{ lat: 40.6957, lng: -73.9464, count: 3 }"
164,3,32.580999999999996,-97.3399,"{ lat: 32.580999999999996, lng: -97.3399, count: 3 }"
165,2,36.8508,-76.2859,"{ lat: 36.8508, lng: -76.2859, count: 2 }"
166,2,36.736999999999995,-119.773,"{ lat: 36.736999999999995, lng: -119.773, count: 2 }"
167,2,39.2766,-76.7403,"{ lat: 39.2766, lng: -76.7403, count: 2 }"
168,2,42.3484,-83.0597,"{ lat: 42.3484, lng: -83.0597, count: 2 }"
169,2,27.8428,-82.7056,"{ lat: 27.8428, lng: -82.7056, count: 2 }"
170,2,39.311,-76.5859,"{ lat: 39.311, lng: -76.5859, count: 2 }"
171,2,35.8204,-84.1769,"{ lat: 35.8204, lng: -84.1769, count: 2 }"
172,2,38.126999999999995,-81.5783,"{ lat: 38.126999999999995, lng: -81.5783, count: 2 }"
173,2,31.678,-89.1448,"{ lat: 31.678, lng: -89.1448, count: 2 }"
174,2,40.010999999999996,-75.0964,"{ lat: 40.010999999999996, lng: -75.0964, count: 2 }"
175,2,43.6645,-84.1747,"{ lat: 43.6645, lng: -84.1747, count: 2 }"
176,2,41.781000000000006,-89.6937,"{ lat: 41.781000000000006, lng: -89.6937, count: 2 }"
177,2,30.2918,-81.7522,"{ lat: 30.2918, lng: -81.7522, count: 2 }"
178,2,40.145,-92.5766,"{ lat: 40.145, lng: -92.5766, count: 2 }"
179,2,39.974000000000004,-75.2433,"{ lat: 39.974000000000004, lng: -75.2433, count: 2 }"
180,2,30.4846,-90.045,"{ lat: 30.4846, lng: -90.045, count: 2 }"
181,2,46.051,-114.223,"{ lat: 46.051, lng: -114.223, count: 2 }"
182,2,44.1817,-92.7599,"{ lat: 44.1817, lng: -92.7599, count: 2 }"
183,2,41.7845,-99.1323,"{ lat: 41.7845, lng: -99.1323, count: 2 }"
184,2,38.9186,-77.557,"{ lat: 38.9186, lng: -77.557, count: 2 }"
185,2,39.6977,-86.1382,"{ lat: 39.6977, lng: -86.1382, count: 2 }"
186,2,28.9449,-95.3543,"{ lat: 28.9449, lng: -95.3543, count: 2 }"
187,2,34.2191,-118.605,"{ lat: 34.2191, lng: -118.605, count: 2 }"
188,2,30.1742,-93.21700000000001,"{ lat: 30.1742, lng: -93.21700000000001, count: 2 }"
189,2,39.8843,-82.9917,"{ lat: 39.8843, lng: -82.9917, count: 2 }"
