STNAME,CTYNAME,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018
Arkansas,Saline County,114861,116397,117695,119669,121421,1522,1536,1298,1974,1752
Arkansas,Scott County,10665,10540,10313,10374,10319,-246,-125,-227,61,-55
Arkansas,Searcy County,7917,7831,7964,7947,7958,-68,-86,133,-17,11
Arkansas,Sebastian County,126784,127428,127477,127865,127753,-427,644,49,388,-112
Arkansas,Sevier County,17429,17272,16980,17146,17139,59,-157,-292,166,-7
Arkansas,Sharp County,16822,16811,17014,17200,17366,-223,-11,203,186,166
Arkansas,Stone County,12379,12380,12498,12517,12457,-44,1,118,19,-60
Arkansas,Union County,40140,40093,39883,39420,39126,-466,-47,-210,-463,-294
Arkansas,Van Buren County,16880,16773,16629,16533,16603,-80,-107,-144,-96,70
Arkansas,Washington County,219976,224491,228438,232780,236961,3965,4515,3947,4342,4181
Arkansas,White County,78459,78925,78967,78941,78727,-94,466,42,-26,-214
Arkansas,Woodruff County,6874,6721,6616,6600,6490,-157,-153,-105,-16,-110
Arkansas,Yell County,21774,21513,21501,21544,21535,-49,-261,-12,43,-9
California,California,38625139,38953142,39209127,39399349,39557045,344315,328003,255985,190222,157696
California,Alameda County,1608674,1634634,1650306,1658131,1666753,28427,25960,15672,7825,8622
California,Alpine County,1082,1087,1057,1121,1101,-45,5,-30,64,-20
California,Amador County,36738,37037,37438,38551,39383,113,299,401,1113,832
California,Butte County,223570,224812,226529,229207,231256,1906,1242,1717,2678,2049
California,Calaveras County,44673,44957,45303,45642,45602,13,284,346,339,-40
California,Colusa County,21198,21269,21553,21675,21627,-67,71,284,122,-48
California,Contra Costa County,1109358,1124606,1137194,1144863,1150215,15600,15248,12588,7669,5352
California,Del Norte County,27198,27246,27422,27428,27828,-619,48,176,6,400
California,El Dorado County,183161,184660,186082,188722,190678,1664,1499,1422,2640,1956
California,Fresno County,961311,970442,977956,986542,994400,9282,9131,7514,8586,7858
California,Glenn County,27857,27776,27851,27956,28047,31,-81,75,105,91
California,Humboldt County,134514,135114,136314,136527,136373,107,600,1200,213,-154
California,Imperial County,178233,179179,180268,181574,181827,1628,946,1089,1306,253
California,Inyo County,18320,18174,17996,17948,17987,-40,-146,-178,-48,39
California,Kern County,869957,877197,882361,888988,896764,7400,7240,5164,6627,7776
California,Kings County,149603,150199,149509,149696,151366,-813,596,-690,187,1670
California,Lake County,64058,64254,63884,64162,64382,249,196,-370,278,220
California,Lassen County,31710,31383,30906,31123,30802,-416,-327,-477,217,-321
California,Los Angeles County,10048408,10097037,10120540,10118759,10105518,50303,48629,23503,-1781,-13241
California,Madera County,153590,153739,154160,155904,157672,2120,149,421,1744,1768
California,Marin County,260435,261016,260633,259725,259666,1982,581,-383,-908,-59
California,Mariposa County,17713,17622,17455,17437,17471,-95,-91,-167,-18,34
California,Mendocino County,87257,87168,87382,87697,87606,180,-89,214,315,-91
California,Merced County,264649,266651,267971,271340,274765,2451,2002,1320,3369,3425
California,Modoc County,9080,9048,8935,8848,8777,-69,-32,-113,-87,-71
California,Mono County,14142,14043,14202,14235,14250,68,-99,159,33,15
California,Monterey County,428980,431241,434767,435477,435594,1926,2261,3526,710,117
California,Napa County,140567,141096,141185,140386,139417,861,529,89,-799,-969
California,Nevada County,98589,98709,98964,99503,99696,637,120,255,539,193
California,Orange County,3130322,3153962,3170707,3179950,3185968,22313,23640,16745,9243,6018
California,Placer County,369326,373058,379288,385565,393149,3881,3732,6230,6277,7584
California,Plumas County,18662,18516,18772,18740,18804,-233,-146,256,-32,64
California,Riverside County,2317955,2347921,2382570,2417224,2450758,29912,29966,34649,34654,33534
California,Sacramento County,1475618,1494294,1511510,1527718,1540975,17868,18676,17216,16208,13257
California,San Benito County,57867,58243,59235,60199,61537,600,376,992,964,1338
California,San Bernardino County,2100776,2117311,2134174,2153203,2171603,16905,16535,16863,19029,18400
California,San Diego County,3250993,3284061,3310280,3325468,3343364,39745,33068,26219,15188,17896
California,San Francisco County,851116,863836,872795,879166,883305,11275,12720,8959,6371,4139
California,San Joaquin County,711771,721929,732185,742516,752660,9384,10158,10256,10331,10144
California,San Luis Obispo County,278296,280171,281958,282838,284010,2545,1875,1787,880,1172
California,San Mateo County,757670,765447,768204,768808,769545,8657,7777,2757,604,737
California,Santa Barbara County,439358,442522,444675,445606,446527,4535,3164,2153,931,921
California,Santa Clara County,1892984,1917481,1929581,1933383,1937570,25682,24497,12100,3802,4187
California,Santa Cruz County,271035,273730,274702,275105,274255,2095,2695,972,403,-850
California,Shasta County,178905,178361,178581,179539,180040,504,-544,220,958,501
California,Sierra County,2980,2996,2957,3009,2987,-49,16,-39,52,-22
California,Siskiyou County,43379,43336,43479,43784,43724,-153,-43,143,305,-60
California,Solano County,429155,433708,439300,443877,446610,5406,4553,5592,4577,2733
California,Sonoma County,498803,501346,503249,503246,499942,4560,2543,1903,-3,-3304
California,Stanislaus County,528346,533534,539542,545267,549815,4624,5188,6008,5725,4548
California,Sutter County,94830,95388,95898,96438,96807,285,558,510,540,369
California,Tehama County,62788,63090,63352,63718,63916,-110,302,262,366,198
California,Trinity County,13123,13094,12830,12726,12535,-304,-29,-264,-104,-191
California,Tulare County,455602,457803,460023,463097,465861,2833,2201,2220,3074,2764
California,Tuolumne County,53828,53550,53704,54039,54539,-172,-278,154,335,500
California,Ventura County,842946,846922,848921,850802,850967,4345,3976,1999,1881,165
California,Yolo County,208518,212053,215530,218376,220408,2150,3535,3477,2846,2032
California,Yuba County,73562,74083,75002,76775,78041,448,521,919,1773,1266
Colorado,Colorado,5351218,5452107,5540921,5615902,5695564,80736,100889,88814,74981,79662
Colorado,Adams County,480263,490768,498249,504428,511868,10118,10505,7481,6179,7440
Colorado,Alamosa County,16220,16314,16461,16543,16683,17,94,147,82,140
Colorado,Arapahoe County,618798,630637,638571,644132,651215,10589,11839,7934,5561,7083
Colorado,Archuleta County,12233,12393,12832,13317,13765,15,160,439,485,448
Colorado,Baca County,3587,3553,3528,3563,3585,-69,-34,-25,35,22
Colorado,Bent County,5784,5879,5645,5857,5882,38,95,-234,212,25
Colorado,Boulder County,313298,319175,322527,324073,326078,3051,5877,3352,1546,2005
Colorado,Broomfield County,61769,64856,66474,68232,69267,1620,3087,1618,1758,1035
Colorado,Chaffee County,18453,18600,19089,19651,20027,95,147,489,562,376
Colorado,Cheyenne County,1846,1827,1849,1860,1876,-32,-19,22,11,16
Colorado,Clear Creek County,9114,9237,9356,9582,9605,101,123,119,226,23
Colorado,Conejos County,8233,8069,8057,8153,8200,33,-164,-12,96,47
Colorado,Costilla County,3564,3577,3696,3772,3828,21,13,119,76,56
Colorado,Crowley County,5609,5622,5261,5798,5858,263,13,-361,537,60
Colorado,Custer County,4344,4438,4593,4873,4954,79,94,155,280,81
Colorado,Delta County,29965,29919,30356,30537,30953,-374,-46,437,181,416
Colorado,Denver County,664870,683665,696618,705439,716492,15357,18795,12953,8821,11053
Colorado,Dolores County,1977,1981,2056,2053,2074,-56,4,75,-3,21
Colorado,Douglas County,314574,321964,328088,335668,342776,8342,7390,6124,7580,7108
Colorado,Eagle County,53323,53896,54579,54992,54993,466,573,683,413,1
Colorado,Elbert County,24033,24621,25138,25735,26282,492,588,517,597,547
Colorado,El Paso County,663266,674156,688687,700800,713856,7946,10890,14531,12113,13056
Colorado,Fremont County,46133,46267,46982,47607,48021,-177,134,715,625,414
Colorado,Garfield County,57201,57760,58847,59113,59770,230,559,1087,266,657
Colorado,Gilpin County,5751,5807,5914,6026,6121,217,56,107,112,95
Colorado,Grand County,14559,14721,15170,15356,15525,248,162,449,186,169
Colorado,Gunnison County,15842,16178,16489,16931,17246,189,336,311,442,315
Colorado,Hinsdale County,773,764,788,791,811,-31,-9,24,3,20
Colorado,Huerfano County,6396,6407,6579,6645,6889,-67,11,172,66,244
Colorado,Jackson County,1385,1352,1357,1379,1399,49,-33,5,22,20
Colorado,Jefferson County,559085,565223,571779,575817,580233,6831,6138,6556,4038,4416
Colorado,Kiowa County,1380,1384,1342,1367,1383,-12,4,-42,25,16
Colorado,Kit Carson County,8020,8215,7625,7152,7163,-227,195,-590,-473,11
Colorado,Lake County,7320,7442,7584,7753,7824,55,122,142,169,71
Colorado,La Plata County,53788,54609,55258,55541,56310,501,821,649,283,769
Colorado,Larimer County,324061,333309,338926,343993,350518,7803,9248,5617,5067,6525
Colorado,Las Animas County,14044,14043,14076,14231,14503,-346,-1,33,155,272
Colorado,Lincoln County,5504,5545,5549,5530,5610,69,41,4,-19,80
Colorado,Logan County,21748,21771,21733,21665,21528,279,23,-38,-68,-137
Colorado,Mesa County,147312,148227,149838,151406,153207,-1,915,1611,1568,1801
Colorado,Mineral County,703,744,757,759,776,-29,41,13,2,17
Colorado,Moffat County,12934,12938,13143,13095,13188,-190,4,205,-48,93
Colorado,Montezuma County,25516,25722,25999,26148,26158,-28,206,277,149,10
Colorado,Montrose County,40596,40576,41168,41785,42214,41,-20,592,617,429
Colorado,Morgan County,28120,28237,28143,28228,28558,-116,117,-94,85,330
Colorado,Otero County,18367,18210,18212,18403,18432,-114,-157,2,191,29
Colorado,Ouray County,4574,4607,4788,4809,4833,22,33,181,21,24
Colorado,Park County,16384,16736,17362,17920,18556,200,352,626,558,636
Colorado,Phillips County,4395,4329,4283,4297,4286,10,-66,-46,14,-11
Colorado,Pitkin County,17726,17948,17967,17952,17950,257,222,19,-15,-2
Colorado,Prowers County,12089,11971,11967,12071,12164,-256,-118,-4,104,93
Colorado,Pueblo County,161480,163111,164877,166426,167529,335,1631,1766,1549,1103
Colorado,Rio Blanco County,6625,6503,6469,6394,6336,-122,-122,-34,-75,-58
Colorado,Rio Grande County,11508,11356,11337,11306,11250,-171,-152,-19,-31,-56
Colorado,Routt County,24083,24422,24787,25346,25733,471,339,365,559,387
Colorado,Saguache County,6198,6251,6406,6643,6843,-44,53,155,237,200
Colorado,San Juan County,711,688,689,711,762,20,-23,1,22,51
Colorado,San Miguel County,7740,7840,8023,8047,8191,118,100,183,24,144
Colorado,Sedgwick County,2333,2375,2405,2334,2303,-6,42,30,-71,-31
Colorado,Summit County,29330,30126,30676,31004,31007,592,796,550,328,3
Colorado,Teller County,23430,23377,24036,24638,25083,76,-53,659,602,445
Colorado,Washington County,4732,4786,4836,4936,4909,-10,54,50,100,-27
Colorado,Weld County,276037,285033,294965,305274,314305,5911,8996,9932,10309,9031
Colorado,Yuma County,10182,10050,10080,10015,10020,47,-132,30,-65,5
Connecticut,Connecticut,3594783,3587509,3578674,3573880,3572665,-132,-7274,-8835,-4794,-1215
Connecticut,Fairfield County,944355,945301,944802,943457,943823,4364,946,-499,-1345,366
Connecticut,Hartford County,897493,896358,894170,892931,892697,-231,-1135,-2188,-1239,-234
Connecticut,Litchfield County,185398,184133,182801,181710,181111,-1488,-1265,-1332,-1091,-599
Connecticut,Middlesex County,164597,163555,163152,162855,162682,-559,-1042,-403,-297,-173
Connecticut,New Haven County,862996,860292,857991,857794,857620,107,-2704,-2301,-197,-174
Connecticut,New London County,271465,269717,268612,267826,266784,-1516,-1748,-1105,-786,-1042
Connecticut,Tolland County,151710,151685,151094,150933,150921,-73,-25,-591,-161,-12
Connecticut,Windham County,116769,116468,116052,116374,117027,-736,-301,-416,322,653
Delaware,Delaware,932596,941413,949216,957078,967171,8958,8817,7803,7862,10093
Delaware,Kent County,171458,173129,174528,176445,178550,2429,1671,1399,1917,2105
Delaware,New Castle County,550851,553658,555403,556419,559335,2468,2807,1745,1016,2916
Delaware,Sussex County,210287,214626,219285,224214,229286,4061,4339,4659,4929,5072
District of Columbia,District of Columbia,662513,675254,686575,695691,702455,12082,12741,11321,9116,6764
District of Columbia,District of Columbia,662513,675254,686575,695691,702455,12082,12741,11321,9116,6764
Florida,Florida,19860330,20224249,20629982,20976812,21299325,297164,363919,405733,346830,322513
Florida,Alachua County,255499,259177,264287,266820,269956,3001,3678,5110,2533,3136
Florida,Baker County,27118,27351,27872,28230,28355,117,233,521,358,125
Florida,Bay County,178305,181387,183384,184046,185287,3699,3082,1997,662,1241
Florida,Bradford County,26553,26743,26736,27133,27732,-250,190,-7,397,599
Florida,Brevard County,555598,565992,577338,588265,596849,5308,10394,11346,10927,8584
Florida,Broward County,1861602,1885443,1912977,1934471,1951260,24547,23841,27534,21494,16789
Florida,Calhoun County,14451,14411,14334,14437,14587,-126,-40,-77,103,150
Florida,Charlotte County,168075,172437,177722,181537,184998,3381,4362,5285,3815,3461
Florida,Citrus County,138833,140311,142850,145512,147929,3,1478,2539,2662,2417
