Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI26019,"Benzie County, MI",26019,36216,38347,39661,40874
PCPI34003,"Bergen County, NJ",34003,73637,76821,77901,81203
PCPI45015,"Berkeley County, SC",45015,34216,35629,36145,37483
PCPI54003,"Berkeley County, WV",54003,36266,37384,38432,39509
PCPI42011,"Berks County, PA",42011,42760,44745,45636,47302
PCPI25003,"Berkshire County, MA",25003,48380,51213,52493,54095
PCPI35001,"Bernalillo County, NM",35001,38743,40211,41579,42186
PCPI26021,"Berrien County, MI",26021,40044,42374,43998,46133
PCPI13019,"Berrien County, GA",13019,26558,28305,28186,29406
PCPI37015,"Bertie County, NC",37015,30910,31662,32427,34212
PCPI02050,"Bethel CA, AK",02050,39964,40921,41871,42863
PCPI48029,"Bexar County, TX",48029,41837,42632,42735,43798
PCPI13021,"Bibb County, GA",13021,36981,38273,38841,40031
PCPI01007,"Bibb County, AL",01007,28249,29048,28989,30022
PCPI22013,"Bienville Parish, LA",22013,32761,33421,33482,35589
PCPI30003,"Big Horn County, MT",30003,25679,26908,27749,28698
PCPI56003,"Big Horn County, WY",56003,37246,37006,35330,35888
PCPI27011,"Big Stone County, MN",27011,49218,51931,50991,48320
PCPI38007,"Billings County, ND",38007,94716,78853,66018,67237
PCPI16011,"Bingham County, ID",16011,31547,33051,33414,35535
PCPI19013,"Black Hawk County, IA",19013,39885,40700,41019,42187
PCPI18009,"Blackford County, IN",18009,33721,33989,35649,36482
PCPI37017,"Bladen County, NC",37017,31283,31926,32522,34439
PCPI40011,"Blaine County, OK",40011,38092,37682,36051,38097
PCPI30005,"Blaine County, MT",30005,29168,29901,29183,28810
PCPI16013,"Blaine County, ID",16013,87350,96021,98009,102546
PCPI31009,"Blaine County, NE",31009,75633,82379,67168,58373
PCPI42013,"Blair County, PA",42013,39793,41806,42475,43793
PCPI48031,"Blanco County, TX",48031,46389,47592,48112,48978
PCPI51021,"Bland County, VA",51021,31434,33264,33270,35046
