month,state,permit,totals
2017-12,Louisiana,1608,41735
2017-12,Maine,443,9364
2017-12,Mariana Islands,0,23
2017-12,Maryland,2761,16062
2017-12,Massachusetts,7619,17941
2017-12,Michigan,17058,45578
2017-12,Minnesota,33548,51143
2017-12,Mississippi,1977,35528
2017-12,Missouri,841,62810
2017-12,Montana,1127,12979
2017-12,Nebraska,4660,8953
2017-12,Nevada,1994,13626
2017-12,New Hampshire,2099,12035
2017-12,New Jersey,0,9341
2017-12,New Mexico,945,18635
2017-12,New York,2757,36347
2017-12,North Carolina,24036,57209
2017-12,North Dakota,793,6528
2017-12,Ohio,10932,78726
2017-12,Oklahoma,0,41245
2017-12,Oregon,4602,38537
2017-12,Pennsylvania,29194,107730
2017-12,Puerto Rico,0,2767
2017-12,Rhode Island,0,2269
2017-12,South Carolina,6004,38260
2017-12,South Dakota,818,10507
2017-12,Tennessee,19260,87983
2017-12,Texas,24815,181236
2017-12,Utah,10954,27220
2017-12,Vermont,0,3759
2017-12,Virgin Islands,108,131
2017-12,Virginia,727,60398
2017-12,Washington,14326,58937
2017-12,West Virginia,2207,27273
2017-12,Wisconsin,15392,47120
2017-12,Wyoming,435,6940
2017-11,Alabama,21670,47418
2017-11,Alaska,336,7527
2017-11,Arizona,5857,34541
2017-11,Arkansas,2622,26049
2017-11,California,54897,140695
2017-11,Colorado,6887,51473
2017-11,Connecticut,5096,14334
2017-11,Delaware,200,4577
2017-11,District of Columbia,289,365
2017-11,Florida,19099,123397
2017-11,Georgia,18672,54950
2017-11,Guam,0,127
2017-11,Hawaii,1167,1171
2017-11,Idaho,3426,15772
2017-11,Illinois,19861,150588
2017-11,Indiana,28638,75879
2017-11,Iowa,9062,17182
2017-11,Kansas,1757,20460
2017-11,Kentucky,373308,404508
2017-11,Louisiana,1748,35485
2017-11,Maine,554,8578
2017-11,Mariana Islands,0,21
2017-11,Maryland,2684,16266
2017-11,Massachusetts,7323,17548
2017-11,Michigan,20375,54350
2017-11,Minnesota,29511,48087
2017-11,Mississippi,1794,28188
2017-11,Missouri,692,56129
2017-11,Montana,1040,11107
2017-11,Nebraska,4265,8303
2017-11,Nevada,2145,12064
2017-11,New Hampshire,2387,11627
2017-11,New Jersey,0,9433
2017-11,New Mexico,1134,16110
2017-11,New York,2351,37306
2017-11,North Carolina,23962,51839
2017-11,North Dakota,558,6334
2017-11,Ohio,10890,76732
2017-11,Oklahoma,0,38406
